generation,populationA,populationB,ct,prop_of_popB_from_popA
240,11,6,1,0.00456621
240,11,7,1,0.00465116
240,11,10,1,0.00454545
240,11,12,1,0.00454545
240,11,13,1,0.00452489
240,12,2,1,0.00444444
240,12,5,1,0.0044843
240,12,11,1,0.00446429
240,12,13,1,0.00452489
240,12,19,1,0.00446429
240,13,0,1,0.00446429
240,13,6,1,0.00456621
240,13,7,1,0.00465116
240,13,8,1,0.0046729
240,13,10,1,0.00454545
240,13,11,1,0.00446429
240,13,12,1,0.00454545
240,14,4,1,0.00452489
240,14,15,1,0.00460829
240,14,18,1,0.00460829
240,15,6,1,0.00456621
240,15,7,1,0.00465116
240,15,9,1,0.00444444
240,16,3,1,0.00446429
240,16,17,1,0.00471698
240,16,18,1,0.00460829
240,17,3,1,0.00446429
240,17,16,1,0.00446429
240,18,4,1,0.00452489
240,18,14,1,0.0042735
240,18,16,1,0.00446429
240,18,17,1,0.00471698
240,19,5,1,0.0044843
240,19,12,1,0.00454545
260,0,1,1,0.00480769
260,0,6,1,0.00456621
260,0,8,1,0.00465116
260,0,10,1,0.00456621
